Model_Name,Display_Final,Battery_Final,Front_Camera_Final,RAM_Final,Rear_Camera_Final,Processor_Final,Price,,,,,,,,,,,,,,,,,,,,,,,
Vivo Y90,Screen Size 6.22 inches (15.8 cm),Battery 4030 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 8 MP,"Processor Quad core, 2 GHz, Cortex A53","7,990",,,,,,,,,,,,,,,,,,,,,,,
Nokia 216 Dual SIM,Screen Size 2.4 inches (6.1 cm),Battery 1020 mAh,Front Camera 0.3 MP,RAM 16 MB,Rear Camera 0.3 MP,0,"2,801",,,,,,,,,,,,,,,,,,,,,,,
Tecno Spark Power 2 Air,Screen Size 7.0 inches (17.78 cm),Battery 6000 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 13 MP + 2 MP + 2 MP,"Processor Quad core, 2 GHz, Cortex A53","8,499",,,,,,,,,,,,,,,,,,,,,,,
Lava Flip,Screen Size 2.4 inches (6.1 cm),Battery 1200 mAh,0,0,Rear Camera 0.08 MP,0,"1,752",,,,,,,,,,,,,,,,,,,,,,,
Nokia 800 Tough,Screen Size 2.4 inches (6.1 cm),Battery 2100 mAh,0,RAM 512 MB,Rear Camera 2 MP,"Processor Dual core, 1.1 GHz, Cortex A7","7,990",,,,,,,,,,,,,,,,,,,,,,,
Samsung Metro B313,Screen Size 2 inches (5.08 cm),Battery 1000 mAh,0,0,Rear Camera 0.3 MP,0,"2,025",,,,,,,,,,,,,,,,,,,,,,,
Nokia 150 2020,Screen Size 2.4 inches (6.1 cm),Battery 1020 mAh,0,RAM 4 MB,Rear Camera 0.3 MP,0,"2,499",,,,,,,,,,,,,,,,,,,,,,,
Itel A48,Screen Size 6.1 inches (15.49 cm),Battery 3000 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 5 MP,"Processor Quad core, 1.4 GHz","6,988",,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi Y1 Lite,Screen Size 5.5 inches (13.97 cm),Battery 3080 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 13 MP,"Processor Quad core, 1.4 GHz, Cortex A53","7,899",,,,,,,,,,,,,,,,,,,,,,,
Qin 1s AI Phone,Screen Size 2.8 inches (7.11 cm),Battery 1480 mAh,0,RAM 256 MB,0,"Processor Dual core, 1.3 GHz, Cortex A53","8,099",,,,,,,,,,,,,,,,,,,,,,,
Kult Gladiator,Screen Size 5.5 inches (13.97 cm),Battery 4000 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 13 MP,"Processor Quad core, 1.25 GHz, Cortex A53","4,999",,,,,,,,,,,,,,,,,,,,,,,
Billion Capture Plus,Screen Size 5.5 inches (13.97 cm),Battery 3500 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 13 MP + 13 MP,"Processor Octa core, 2 GHz, Cortex A53","5,499",,,,,,,,,,,,,,,,,,,,,,,
Tecno Spark Go 2020,Screen Size 6.52 inches (16.56 cm),Battery 5000 mAh,Front Camera 8 MP,RAM 2 GB,Rear Camera 13 MP,"Processor Quad core, 2 GHz, Cortex A53","7,899",,,,,,,,,,,,,,,,,,,,,,,
Realme C20,Screen Size 6.52 inches (16.56 cm),Battery 6000 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 13 MP + 8 MP + 2 MP + 2 MP,"Processor Octa core, 2.3 GHz, Cortex A53","7,499",,,,,,,,,,,,,,,,,,,,,,,
Infinix Hot 8,Screen Size 6.52 inches (16.56 cm),Battery 5000 mAh,Front Camera 8 MP,RAM 4 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core, 2 GHz, Cortex A53","9,900",,,,,,,,,,,,,,,,,,,,,,,
Realme 5,Screen Size 6.5 inches (16.51 cm),Battery 5000 mAh,Front Camera 13 MP,RAM 3 GB,Rear Camera 12 MP + 8 MP + 2 MP + 2 MP,"Processor Octa core (2 GHz, Quad core, Kryo 260 + 1.8 GHz, Quad core, Kryo 260)","8,990",,,,,,,,,,,,,,,,,,,,,,,
Intex Aqua Lions T1 Lite,Screen Size 5.0 inches (12.7 cm),Battery 2200 mAh,Front Camera 2 MP,RAM 1 GB,Rear Camera 5 MP,"Processor Quad core, 1.3 GHz, Cortex A7","2,999",,,,,,,,,,,,,,,,,,,,,,,
Honor 9S,Screen Size 5.45 inches (13.84 cm),Battery 3020 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 8 MP,"Processor Octa core, 2 GHz, Cortex A53","5,999",,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy M02s,Screen Size 6.5 inches (16.51 cm),Battery 5000 mAh,Front Camera 5 MP,RAM 3 GB,Rear Camera 13 MP + 2 MP + 2 MP,"Processor Octa core, 1.8 GHz, Cortex A53","9,799",,,,,,,,,,,,,,,,,,,,,,,
Micromax Bharat 2 Plus,Screen Size 4.0 inches (10.16 cm),Battery 1600 mAh,Front Camera 2 MP,RAM 1 GB,Rear Camera 5 MP,"Processor Quad core, 1.3 GHz, Cortex A7","4,399",,,,,,,,,,,,,,,,,,,,,,,
Nokia 215 2020,Screen Size 2.4 inches (6.1 cm),Battery 1150 mAh,0,RAM 64 MB,0,Processor Unisoc UMS9117,"3,399",,,,,,,,,,,,,,,,,,,,,,,
Vivo Y90,Screen Size 6.22 inches (15.8 cm),Battery 4030 mAh,Front Camera 5 MP,RAM 2 GB,Rear Camera 8 MP,"Processor Quad core, 2 GHz, Cortex A53","7,990",,,,,,,,,,,,,,,,,,,,,,,
Nokia 216 Dual SIM,Screen Size 2.4 inches (6.1 cm),Battery 1020 mAh,Front Camera 0.3 MP,RAM 16 MB,Rear Camera 0.3 MP,0,"2,801",,,,,,,,,,,,,,,,,,,,,,,
Tecno Spark Power 2 Air,Screen Size 7.0 inches (17.78 cm),Battery 6000 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 13 MP + 2 MP + 2 MP,"Processor Quad core, 2 GHz, Cortex A53","8,499",,,,,,,,,,,,,,,,,,,,,,,
Lava Flip,Screen Size 2.4 inches (6.1 cm),Battery 1200 mAh,0,0,Rear Camera 0.08 MP,0,"1,752",,,,,,,,,,,,,,,,,,,,,,,
Nokia 800 Tough,Screen Size 2.4 inches (6.1 cm),Battery 2100 mAh,0,RAM 512 MB,Rear Camera 2 MP,"Processor Dual core, 1.1 GHz, Cortex A7","7,990",,,,,,,,,,,,,,,,,,,,,,,
Samsung Metro B313,Screen Size 2 inches (5.08 cm),Battery 1000 mAh,0,0,Rear Camera 0.3 MP,0,"2,025",,,,,,,,,,,,,,,,,,,,,,,
